LENSID,NIMG,IMG,ID,Parity,ZLENS,ZSRC,VELDISP,ELLIP,PHIE,KAPPA,GAMMA,S,DELAY,MAGI_IN,r0_r,RE_micro,weighted-score
56036066,2,A,56036066_A,Saddle,1.336,2.67,251.1886,0.2870628,-92.86882,0.63,0.67,0.7,37.431,22.29,7.904143691660024,170.41527526792007,0.3153418377843495
5924799,4,B,5924799_B,Minimum,0.516,1.69,235.5049,0.4103732,-43.39795,0.39,0.37,0.8,0.0,21.85,8.039962479509638,281.69830025331527,0.3151424087971829
28973410,2,B,28973410_B,Saddle,0.984,1.86,262.4219,0.2794689,-94.92571,0.62,0.65,0.7,51.009,22.29,6.970814090068255,189.13692643556655,0.31510772720474256
58991526,2,A,58991526_A,Saddle,1.37,2.7,253.5129,0.04509505,-9.870744,0.67,0.62,0.7,0.0,22.61,6.945214470172287,167.7785860552697,0.3150014182790078
12903264,4,C,12903264_C,Saddle,0.7,2.63,266.0725,0.3202145,-4.378374,0.65,0.7,0.7,26.036,21.11,12.832111154254447,247.41529106618748,0.3149985061054
30042214,2,B,30042214_B,Saddle,1.0,2.33,219.786,0.3032519,161.2712,0.71,0.75,0.7,45.563,20.05,19.160111263900696,201.57531675204035,0.3148461862684749
1462020,4,B,1462020_B,Saddle,0.308,1.38,204.1738,0.3361933,147.4718,0.64,0.72,0.7,2.926,20.27,14.105420704351767,358.0801653099571,0.31456803341429507
14382324,2,B,14382324_B,Saddle,0.732,1.98,204.6445,0.4632441,147.5298,0.74,0.8,0.6,59.966,18.95,28.51622500223991,237.11084026144346,0.31414699591626366
27379087,4,C,27379087_C,Saddle,0.96,2.09,230.6747,0.4123493,-147.8651,0.7,0.73,0.7,21.593,20.77,13.685695345848693,201.69208631678185,0.3141071148722472
9201876,4,B,9201876_B,Saddle,0.612,2.29,225.9436,0.4289361,148.2219,0.63,0.69,0.7,12.526,21.25,11.58412538711779,265.4268929198801,0.3139703837321101
34949959,4,B,34949959_B,Saddle,1.07,2.69,261.8183,0.2940241,-141.861,0.67,0.62,0.7,63.961,22.39,7.5999746510644455,197.2721616247615,0.31395279820187605
7257437,2,B,7257437_B,Saddle,0.558,2.43,218.273,0.3847813,-132.1318,0.64,0.64,0.7,31.657,22.01,8.62174988909341,277.666867294399,0.3139180860013535
14775075,4,A,14775075_A,Minimum,0.74,3.08,203.7042,0.4540013,-30.78881,0.39,0.44,0.8,2.904,22.47,7.632039248968579,237.16816739832106,0.3139172024910157
1032794,4,A,1032794_A,Saddle,0.272,1.26,210.8628,0.2525168,79.64813,0.6,0.69,0.7,13.611,22.05,6.445196469281962,374.211787538109,0.31388396583446904
8300450,2,B,8300450_B,Saddle,0.588,2.44,218.7762,0.04773985,4.238191,0.69,0.66,0.7,0.0,22.11,8.282661007504919,270.58155342558194,0.31386353484350477
39529758,2,A,39529758_A,Saddle,1.132,3.5,252.3481,0.3307045,-68.35118,0.74,0.66,0.7,54.885,22.17,8.913354940973093,190.3914019543756,0.3132922848431465
14305407,2,A,14305407_A,Saddle,0.73,2.2,245.4709,0.5428097,96.57081,0.65,0.67,0.7,98.661,21.79,9.133794066699206,241.14745354524683,0.31289424817049
934249,2,B,934249_B,Minimum,0.262,2.45,249.4595,0.1721541,20.37882,0.39,0.35,0.8,0.0,21.53,10.547267287186054,396.5233007244344,0.3128191713500247
2012457,4,D,2012457_D,Minimum,0.346,2.44,175.3881,0.400474,94.92908,0.42,0.4,0.8,0.0,20.97,13.285254760318832,348.3531196324213,0.31276569229079343
17314559,2,B,17314559_B,Saddle,0.79,3.17,195.4339,0.1588852,-72.6674,0.61,0.64,0.7,0.0,23.89,4.267952765085088,229.08124297285678,0.31264478225141146
15274201,2,B,15274201_B,Saddle,0.75,3.48,234.4229,0.3650726,7.523253,0.78,0.75,0.6,64.313,19.85,23.28515723292947,230.58116747466997,0.31261453179236504
2321799,2,B,2321799_B,Minimum,0.364,2.79,207.9697,0.2634221,-160.3747,0.41,0.36,0.8,0.0,19.79,22.563108116099652,333.5937640486784,0.3125271677518061
2540760,2,B,2540760_B,Minimum,0.376,2.12,259.4179,0.2592833,-64.94049,0.37,0.41,0.9,0.0,20.49,15.449644408359152,338.04571767333516,0.3124993919656411
16919296,4,B,16919296_B,Saddle,0.782,3.52,291.0717,0.4090182,-145.0846,0.67,0.64,0.7,45.407,22.21,8.778018384073977,225.78663777490365,0.31230585652382653
13433358,2,B,13433358_B,Saddle,0.712,3.47,190.5461,0.322574,-108.8761,0.64,0.64,0.7,37.705,21.63,11.1274486943073,236.09973096366951,0.31223908255684457
4176510,2,B,4176510_B,Saddle,0.452,3.31,263.6331,0.2419782,-7.542973,0.62,0.66,0.7,28.928,23.11,5.959558309036483,291.61681473206136,0.3120877897139695
1276821,2,A,1276821_A,Minimum,0.294,1.41,155.5966,0.1472457,64.3542,0.41,0.37,0.8,0.0,19.71,17.976495218583796,368.7908651176417,0.31201169388627237
14873067,2,A,14873067_A,Minimum,0.742,2.28,215.2782,0.2675358,-53.47525,0.44,0.39,0.8,0.0,19.15,27.61955975867604,239.72201391764264,0.3119145248297644
10639332,2,A,10639332_A,Saddle,0.648,2.29,286.4178,0.3118072,-66.17089,0.74,0.7,0.7,70.426,21.35,11.113817211960546,257.72251615352997,0.31190338248917804
45952,4,B,45952_B,Saddle,0.092,2.8,257.6321,0.3042596,14.17683,0.67,0.73,0.7,6.93,21.19,12.642705887459883,633.727517380231,0.3117495444907877
24457018,4,D,24457018_D,Saddle,0.914,2.4,217.771,0.2991543,-28.80828,0.65,0.62,0.7,9.431,22.91,5.913507308578691,214.02958692523984,0.31174751577141907
13634907,2,B,13634907_B,Minimum,0.716,2.33,272.8978,0.2582663,123.6984,0.42,0.4,0.8,0.0,22.51,6.911909238704165,244.698900452047,0.3115559276720173
3284772,2,A,3284772_A,Minimum,0.414,2.14,171.7908,0.1309139,-133.7683,0.47,0.31,0.8,0.0,21.35,10.853954105969873,322.5068506343887,0.3115351720732163
18732764,4,A,18732764_A,Saddle,0.816,2.2,288.4032,0.4268924,-34.12532,0.75,0.73,0.7,48.403,21.21,11.615855896732963,226.2547142348303,0.31129482830816163
2803086,4,B,2803086_B,Saddle,0.39,3.42,202.7683,0.228807,-72.53336,0.71,0.67,0.7,6.128,22.65,7.266939926612227,308.4973699286672,0.311230317429915
1862289,2,B,1862289_B,Minimum,0.336,1.89,208.4491,0.2823254,-125.6603,0.39,0.4,0.8,0.0,21.59,9.376607682369999,356.9147571430516,0.3109498905791705
14478243,2,B,14478243_B,Saddle,0.734,2.11,186.638,0.3654454,64.98819,0.74,0.66,0.6,17.429,21.89,8.633250461035411,239.22902691092662,0.3107088194509122
13256877,4,A,13256877_A,Minimum,0.708,2.77,230.1442,0.3837461,-73.53699,0.41,0.41,0.8,3.577,22.93,6.127839254101445,245.17191747164097,0.31054558440425817
19059336,2,B,19059336_B,Saddle,0.822,2.59,252.3481,0.07896069,97.04591,0.65,0.67,0.7,0.0,21.75,9.796781218481804,228.03666823786483,0.31043254097893797
12253408,4,B,12253408_B,Saddle,0.686,2.86,198.6095,0.3937804,-127.8324,0.73,0.69,0.6,11.893,20.75,15.262410830635789,248.12511321282818,0.31039519320633246
3562606,4,D,3562606_D,Saddle,0.426,1.43,240.4363,0.2026654,116.8609,0.71,0.81,0.7,12.144,18.67,27.850514924120745,301.9079875685239,0.3099826374713003
5006583,4,C,5006583_C,Saddle,0.484,2.09,280.5434,0.5321523,97.57896,0.66,0.65,0.7,36.061,22.37,7.051262263200491,298.42880753851665,0.30972416825396965
336957,4,D,336957_D,Saddle,0.184,2.82,157.0363,0.4230462,118.7773,0.73,0.7,0.6,1.322,21.61,10.644200891759509,455.7137552921891,0.30967609617881753
